"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_040_3C",2,"F6","fast",1,2,"C2",1,"fast",0,30
"4_040_3D",2,"F6","fast",1,2,"C2",0,"uninf",1,6
"4_040_4A",2,"F6","fast",1,2,"C2",1,"fast",1,8
"4_040_4B",2,"F6","fast",1,2,"C2",1,"fast",1,6
"4_040_4C",2,"F6","fast",1,NA,NA,NA,"uninf",0,30
"4_040_4D",2,"F6","fast",1,NA,NA,NA,"uninf",0,30
"4_040_5A",2,"F6","fast",1,2,"C1",1,"fast",1,6
"4_040_5B",2,"","",0,NA,NA,NA,"unexp",0,30
"4_040_5C",2,"F6","fast",1,2,"C2",1,"fast",0,30
"4_040_5D",2,"F6","fast",1,2,"C3",1,"fast",0,30
"4_040_6A",2,"F6","fast",1,2,"C2",1,"fast",1,6
"4_040_6B",2,"F6","fast",1,2,"C2",1,"fast",1,6
"4_040_6C",2,"F6","fast",1,2,"C2",1,"fast",1,6
"4_040_6D",2,"F6","fast",1,2,"C2",1,"fast",0,30
"4_041_1A",2,"F12","fast",1,2,"C1",0,"uninf",1,8
"4_041_1B",2,"F12","fast",1,2,"C2",0,"uninf",0,30
"4_041_1C",2,"F12","fast",1,2,"C2",1,"fast",1,8
"4_041_1D",2,"F12","fast",1,2,"C1",1,"fast",1,6
"4_041_2A",2,"F12","fast",1,2,"C3",0,"uninf",0,30
"4_041_2B",2,"F12","fast",1,2,"C2",1,"fast",1,10
"4_041_2C",2,"","",0,2,"C2",0,"unexp",1,6
"4_041_2D",2,"F12","fast",1,2,"C2",1,"fast",1,6
"4_041_3A",2,"F12","fast",1,2,"C1",1,"fast",1,6
"4_041_3B",2,"","",0,2,"C1",0,"unexp",1,6
"4_041_3C",2,"F12","fast",1,2,"C3",1,"fast",1,6
"4_041_3D",2,"F12","fast",1,2,"C2",0,"uninf",1,8
"4_041_4A",2,"F12","fast",1,2,"C2",1,"fast",0,30
"4_041_4B",2,"F12","fast",1,2,"C2",1,"fast",0,30
"4_041_4C",2,"","",0,2,"C2",0,"unexp",1,6
"4_041_4D",2,"F12","fast",1,2,"C2",0,"uninf",1,6
"4_041_5A",2,"","",0,2,"C2",0,"unexp",0,30
"4_041_5B",2,"F12","fast",1,2,"C2",1,"fast",0,30
"4_041_5C",2,"F12","fast",1,2,"C2",1,"fast",1,6
"4_041_5D",2,"F12","fast",1,2,"C2",1,"fast",1,8
"4_041_6A",2,"F12","fast",1,2,"C2",1,"fast",1,6
"4_041_6B",2,"F12","fast",1,2,"C2",0,"uninf",1,24
"4_041_6C",2,"F12","fast",1,2,"C2",1,"fast",1,6
"4_041_6D",2,"F12","fast",1,2,"C2",1,"fast",1,6
"4_042_1A",2,"F8","fast",1,5,"C1",1,"fast",1,6
"4_042_1B",2,"F8","fast",1,5,"C2",1,"fast",1,6
"4_042_1C",2,"F8","fast",1,5,"C2",0,"uninf",0,30
"4_042_1D",2,"F5","fast",1,5,"C2",1,"fast",1,13
"4_042_2A",2,"F8","fast",1,NA,NA,NA,"uninf",0,30
"4_042_2B",2,"","",0,5,"C2",0,"unexp",1,8
"4_042_2C",2,"F5","fast",1,5,"C2",0,"uninf",1,15
"4_042_2D",2,"F5","fast",1,5,"C2",0,"uninf",0,30
"4_042_3A",2,"F8","fast",1,NA,NA,NA,"uninf",0,30
"4_042_3B",2,"F8","fast",1,5,"C2",1,"fast",1,8
"4_042_3C",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_042_3D",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_042_4A",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_042_4B",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_042_4C",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_042_4D",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_042_5A",2,"F5","fast",1,5,"C2",0,"uninf",1,6
"4_042_5B",2,"F5","fast",1,5,"C2",1,"fast",1,6
"4_042_5C",2,"F5","fast",1,5,"C2",0,"uninf",0,30
"4_042_5D",2,"","",0,5,"C2",0,"unexp",0,30
"4_042_6A",2,"F5","fast",1,5,"C2",1,"fast",1,6
"4_042_6B",2,"F5","fast",1,5,"C2",1,"fast",1,6
"4_042_6C",2,"F5","fast",1,5,"C2",0,"uninf",0,30
"4_042_6D",2,"F5","fast",1,5,"C2",0,"uninf",1,10
"4_043_1A",2,"S10","slow",1,5,"C2",0,"uninf",1,6
"4_043_1B",2,"S10","slow",1,5,"C2",1,"slow",0,30
"4_043_1C",2,"S10","slow",1,5,"C2",1,"slow",1,6
"4_043_1D",2,"S10","slow",1,5,"C1",1,"slow",1,6
"4_043_2A",2,"","",0,NA,NA,NA,"unexp",0,30
"4_043_2B",2,"S10","slow",1,NA,NA,NA,"uninf",0,30
"4_043_2C",2,"S10","slow",1,NA,NA,NA,"uninf",0,30
"4_043_2D",2,"S10","slow",1,5,"C2",1,"slow",1,6
"4_043_3A",2,"S10","slow",1,5,"C2",0,"uninf",1,6
"4_043_3B",2,"S10","slow",1,5,"C2",0,"uninf",0,30
"4_043_3C",2,"","",0,NA,NA,NA,"unexp",0,30
"4_043_3D",2,"S10","slow",1,NA,NA,NA,"uninf",0,30
"4_043_4A",2,"S10","slow",1,5,"C2",0,"uninf",1,29
"4_043_4B",2,"","",0,5,"C2",0,"unexp",0,30
"4_043_4C",2,"S10","slow",1,5,"C2",1,"slow",1,8
"4_043_4D",2,"S10","slow",1,NA,NA,NA,"uninf",0,30
"4_043_5A",2,"S10","slow",1,5,"C2",0,"uninf",0,30
"4_043_5B",2,"S10","slow",1,5,"C2",0,"uninf",1,6
"4_043_5C",2,"","",0,5,"C2",0,"unexp",1,6
"4_043_5D",2,"S10","slow",1,NA,NA,NA,"uninf",0,30
"4_043_6A",2,"S10","slow",1,5,"C2",1,"slow",0,30
"4_043_6B",2,"S10","slow",1,5,"C2",1,"slow",1,10
"4_043_6C",2,"S10","slow",1,5,"C2",1,"slow",1,6
"4_043_6D",2,"S10","slow",1,5,"C2",0,"uninf",1,6
"4_044_1A",2,"F10","fast",1,5,"C2",1,"fast",1,6
"4_044_1B",2,"F10","fast",1,NA,NA,NA,"uninf",0,30
"4_044_1C",2,"F10","fast",1,5,"C2",1,"fast",1,29
"4_044_1D",2,"","",0,5,"C2",0,"unexp",0,30
"4_044_2A",2,"F10","fast",1,NA,NA,NA,"uninf",0,30
"4_044_2B",2,"F10","fast",1,5,"C2",0,"uninf",1,8
"4_044_2C",2,"F10","fast",1,5,"C3",0,"uninf",0,30
"4_044_2D",2,"F10","fast",1,5,"C2",1,"fast",0,30
"4_044_3A",2,"F10","fast",1,NA,NA,NA,"uninf",0,30
"4_044_3B",2,"","",0,5,"C2",0,"unexp",1,8
"4_044_3C",2,"F10","fast",1,5,"C2",1,"fast",0,30
"4_044_3D",2,"F10","fast",1,5,"C2",1,"fast",0,30
"4_044_4A",2,"F10","fast",1,5,"C2",1,"fast",1,6
"4_044_4B",2,"","",0,5,"C2",0,"unexp",1,6
"4_044_4C",2,"F10","fast",1,5,"C3",0,"uninf",0,30
"4_044_4D",2,"F10","fast",1,5,"C3",1,"fast",0,30
"4_044_5A",2,"F10","fast",1,5,"C2",1,"fast",1,8
"4_044_5B",2,"F10","fast",1,5,"C2",1,"fast",1,8
"4_044_5C",2,"F10","fast",1,5,"C2",1,"fast",1,30
"4_044_5D",2,"F10","fast",1,5,"C2",1,"fast",1,29
"4_044_6A",2,"F10","fast",1,5,"C2",0,"uninf",1,6
"4_044_6B",2,"F10","fast",1,5,"C2",1,"fast",1,8
"4_044_6C",2,"F10","fast",1,5,"C3",0,"uninf",0,30
"4_044_6D",2,"","",0,5,"C3",0,"unexp",0,30
"4_045_1A",2,"C6","control",1,NA,NA,NA,"uninf",0,30
"4_045_1B",2,"C6","control",1,5,"C2",1,"control",0,30
"4_045_1C",2,"","",0,5,"C2",0,"unexp",1,8
"4_045_1D",2,"C6","control",1,5,"C2",1,"control",1,6
"4_045_2A",2,"C6","control",1,5,"C2",1,"control",1,22
"4_045_2B",2,"C6","control",1,5,"C2",1,"control",0,30
"4_045_2C",2,"C6","control",1,5,"C3",0,"uninf",1,8
"4_045_2D",2,"C6","control",1,5,"C2",0,"uninf",1,6
"4_045_3A",2,"","",0,5,"C2",0,"unexp",0,30
"4_045_3B",2,"C6","control",1,5,"C2",1,"control",0,30
"4_045_3C",2,"C6","control",1,5,"C2",0,"uninf",1,6
